"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00173295","1999-11","43.8925","-70.2544","115.2","GRAY, ME US","305.8","0","0.0",",0","12",",0","8",",0","0",",0","0",",0","0",",0","0",",0","14",",0","0",",0","0",",0","0",",0","","","","","19991130","+,,0","19991130","+,,0","19991129","+,,0","","","19991103",",,0","19991123",",,0","-5.6",",0,30,+","0",",,0,30,+","0",",T,0,29,+","21.6",",,0,03,","20.6",",0,23,","766.5","0","386.9",",0","68.8",",,,0","0",",T,,0","5.44",",0","9.65",",,,0","1.22",",,,0","",""
"USC00173295","1999-12","43.8925","-70.2544","115.2","GRAY, ME US","305.8","0","0.0",",0","8",",0","5",",0","0",",0","0",",0","0",",0","0",",0","26",",0","11",",0","0",",0","0",",0","","","","","19991228",",,0","19991230",",,0","19991230","+,,0","","","19991207",",,0","19991205",",,0","-16.1",",0,28,","0",",T,0,30,","0",",T,0,30,+","18.5",",,0,07,","12.2",",0,05,","1358.8","0","592.3",",0","49.9",",,,0","0",",T,,0","-0.77",",0","3.19",",,,0","-4.73",",,,0","",""
"USC00173295","2000-01","43.8925","-70.2544","115.2","GRAY, ME US","0.0","0","0.0",",0","11",",0","8",",0","2",",0","17",",0","4",",0","8",",0","30",",0","18",",0","0",",0","0",",0","","","","","20000123",",,0","20000131",",,0","20000125",",,0","","","20000110",",,0","20000103",",,0","-21.1",",0,23,","406",",,0,31,","274",",,0,25,","37.6",",,0,10,","13.9",",0,03,","2131.1","0","772.3",",0","114.5",",,,0","594",",,,0","-6.58",",0","-1.76",",,,0","-11.40",",,,0","",""
"USC00173295","2000-02","43.8925","-70.2544","115.2","GRAY, ME US","0.0","0","0.0",",0","10",",0","5",",0","1",",0","29",",0","4",",0","1",",0","26",",0","12",",0","0",",0","0",",0","","","","","20000218",",,0","20000222","+,,0","20000218",",,0","","","20000214",",,0","20000224",",,0","-18.9",",0,18,","711",",,0,22,+","173",",,0,18,","33.8",",,0,14,","13.3",",0,24,","2764.8","0","633.7",",0","74.7",",,,0","563",",,,0","-3.52",",0","1.29",",,,0","-8.33",",,,0","",""
"USC00173295","2000-03","43.8925","-70.2544","115.2","GRAY, ME US","0.0","0","0.0",",0","10",",0","7",",0","1",",0","22",",0","2",",0","0",",0","21",",0","3",",0","0",",0","0",",0","","","","","20000318",",,0","20000301",",,0","20000317",",,0","","","20000328",",,0","20000316",",,0","-12.2",",0,18,","254",",,0,01,","183",",,0,17,","41.1",",,0,28,","17.8",",0,16,","3235.8","0","471.0",",0","111.2",",,,0","348",",,,0","3.14",",0","8.21",",,,0","-1.93",",,,0","",""
"USC00173295","2000-04","43.8925","-70.2544","115.2","GRAY, ME US","0.0","0","0.0",",0","17",",0","8",",0","1",",0","1",",0","1",",0","0",",0","13",",0","0",",0","1",",0","0",",0","","","","","20000413",",,0","20000422",",,0","20000421",",,0","","","20000422",",,0","20000415",",,0","-2.2",",0,13,","51",",,0,22,","51",",,0,21,","33.8",",,0,22,","26.1",",0,15,","3601.6","0","365.8",",0","139.3",",,,0","69",",,,0","6.14",",0","10.89",",,,0","1.39",",,,0","",""
"USC00173295","2000-05","43.8925","-70.2544","115.2","GRAY, ME US","0.9","0","0.9",",0","18",",0","9",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","5",",0","0",",0","","","","","20000501",",,0","20000531","+,,0","20000531","+,,0","","","20000524",",,0","20000508",",,0","1.7",",0,01,","0",",,0,31,+","0",",,0,31,+","30.5",",,0,24,","26.7",",0,08,","3813.9","0","212.3",",0","101.9",",,,0","0",",,,0","11.51",",0","16.73",",,,0","6.30",",,,0","",""
"USC00173295","2000-06","43.8925","-70.2544","115.2","GRAY, ME US","38.7","0","37.8",",0","13",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","20",",0","1",",0","","","","","20000613",",,0","20000630","+,,0","20000630","+,,0","","","20000630",",,0","20000617",",,0","5.6",",0,13,","0",",,0,30,+","0",",,0,30,+","34.0",",,0,30,","32.8",",0,17,","3877.7","0","63.8",",0","93.6",",,,0","0",",,,0","17.47",",0","22.79",",,,0","12.14",",,,0","",""
"USC00173295","2000-07","43.8925","-70.2544","115.2","GRAY, ME US","74.7","0","36.0",",0","14",",0","9",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","0",",0","","","","","20000720",",,0","20000731","+,,0","20000731","+,,0","","","20000716",",,0","20000703",",,0","10.6",",0,20,","0",",,0,31,+","0",",,0,31,+","54.1",",,0,16,","30.0",",0,03,","13.7","0","13.7",",0","120.7",",,,0","0",",,,0","19.05",",0","24.10",",,,0","14.00",",,,0","",""
"USC00173295","2000-08","43.8925","-70.2544","115.2","GRAY, ME US","121.0","0","46.3",",0","11",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","0",",0","","","","","20000818","+,,0","20000831","+,,0","20000831","+,,0","","","20000814",",,0","20000808","+,,0","9.4",",0,18,+","0",",,0,31,+","0",",,0,31,+","24.1",",,0,14,","29.4",",0,08,+","27.4","0","13.7",",0","51.1",",,,0","0",",,,0","19.39",",0","24.32",",,,0","14.45",",,,0","",""
"USC00173295","2000-09","43.8925","-70.2544","115.2","GRAY, ME US","133.8","0","12.8",",0","8",",0","6",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","15",",0","0",",0","","","","","20000929",",,0","20000930","+,,0","20000930","+,,0","","","20000920",",,0","20000901",",,0","-0.6",",0,29,","0",",,0,30,+","0",",,0,30,+","13.5",",,0,20,","31.7",",0,01,","143.8","0","116.4",",0","54.4",",,,0","0",",,,0","14.88",",0","20.48",",,,0","9.28",",,,0","",""
"USC00173295","2000-10","43.8925","-70.2544","115.2","GRAY, ME US","133.8","0","0.0",",0","11",",0","9",",0","1",",0","1",",0","1",",0","0",",0","4",",0","0",",0","7",",0","0",",0","","","","","20001029","+,,0","20001030",",,0","20001029",",,0","","","20001018",",,0","20001003",",,0","-1.1",",0,29,+","25",",,0,30,","48",",,0,29,","27.9",",,0,18,","25.6",",0,03,","421.0","0","277.2",",0","92.7",",,,0","53",",,,0","9.39",",0","14.67",",,,0","4.11",",,,0","",""
"USC00173295","2000-11","43.8925","-70.2544","115.2","GRAY, ME US","133.8","0","0.0",",0","10",",0","6",",0","2",",0","0",",0","0",",0","0",",0","10",",0","3",",0","0",",0","0",",0","","","","","20001125",",,0","20001124","+,,0","20001120",",,0","","","20001110",",,0","20001103",",,0","-12.8",",0,25,","0",",T,0,24,+","13",",,0,20,","26.7",",,0,10,","16.7",",0,03,","848.8","0","427.8",",0","106.4",",,,0","13",",,,0","4.07",",0","7.66",",,,0","0.48",",,,0","",""
"USC00173295","2000-12","43.8925","-70.2544","115.2","GRAY, ME US","133.8","0","0.0",",0","9",",0","8",",0","1",",0","15",",0","5",",0","0",",0","30",",0","22",",0","0",",0","0",",0","","","","","20001226","+,,0","20001231",",,0","20001230",",,0","","","20001217",",,0","20001217",",,0","-16.7",",0,26,+","229",",,0,31,","254",",,0,30,","57.7",",,0,17,","12.8",",0,17,","1568.6","0","719.8",",0","125.2",",,,0","561",",,,0","-4.89",",0","-0.56",",,,0","-9.21",",,,0","",""
"USC00173295","2001-01","43.8925","-70.2544","115.2","GRAY, ME US","0.0","0","0.0",",0","10",",0","5",",0","0",",0","31",",0","6",",0","0",",0","31",",0","25",",0","0",",0","0",",0","","","","","20010118",",,0","20010122",",,0","20010106",",,0","","","20010130",",,0","20010125","+,,0","-16.7",",0,18,","330",",,0,22,","94",",,0,06,","9.9",",,0,30,","3.3",",0,25,+","2324.2","0","755.6",",0","36.1",",,,0","360",",,,0","-6.04",",0","-1.38",",,,0","-10.70",",,,0","",""
"USC00173295","2001-02","43.8925","-70.2544","115.2","GRAY, ME US","0.0","0","0.0",",0","13",",0","7",",0","1",",0","28",",0","6",",0","1",",0","28",",0","13",",0","0",",0","0",",0","","","","","20010222",",,0","20010206",",,0","20010205",",,0","","","20010205",",,0","20010220",",,0","-18.3",",0,22,","660",",,0,06,","381",",,0,05,","26.2",",,0,05,","10.0",",0,20,","2979.3","0","655.1",",0","74.7",",,,0","764",",,,0","-5.06",",0","-0.12",",,,0","-10.00",",,,0","",""
"USC00173295","2001-03","43.8925","-70.2544","115.2","GRAY, ME US","0.0","0","0.0",",0","11",",0","7",",0","3",",0","31",",Z","9",",Z","1",",0","29",",0","7",",0","0",",0","0",",0","","","","","20010302",",,0","20010310",",,0","20010306",",,Z","","","20010322",",,0","20010320",",,0","-18.9",",0,02,","864",",,0,10,","353",",,Z,06,","69.9",",,0,22,","11.1",",0,20,","3571.5","0","592.2",",0","187.6",",,,0","1481",",,,Z","-0.77",",0","3.25",",,,0","-4.78",",,,0","",""
"USC00173295","2001-04","43.8925","-70.2544","115.2","GRAY, ME US","0.0","0","0.0",",0","5",",0","2",",0","0",",0","18",",0","0",",0","0",",0","16",",0","0",",0","2",",0","0",",0","","","","","20010402",",,0","20010402","+,,0","20010408",",,0","","","20010412",",,0","20010422",",,0","-2.8",",0,02,","762",",,0,02,+","10",",,0,08,","23.4",",,0,12,","26.7",",0,22,","3927.7","0","356.2",",0","29.3",",,,0","13",",,,0","6.46",",0","12.03",",,,0","0.88",",,,0","",""
"USC00173295","2001-05","43.8925","-70.2544","115.2","GRAY, ME US","18.3","0","18.3",",0","7",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","12",",0","2",",0","","","","","20010531",",,0","20010531","+,,0","20010531","+,,0","","","20010527",",,0","20010503",",,0","2.8",",0,31,","0",",,0,31,+","0",",,0,31,+","14.5",",,0,27,","32.8",",0,03,","4086.8","0","159.1",",0","29.8",",,,0","0",",,,0","13.79",",0","19.85",",,,0","7.74",",,,0","",""
"USC00173295","2001-06","43.8925","-70.2544","115.2","GRAY, ME US","90.9","0","72.6",",0","10",",0","8",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","26",",0","2",",0","","","","","20010601",",,0","20010630","+,,0","20010630","+,,0","","","20010602",",,0","20010627",",,0","7.2",",0,01,","0",",,0,30,+","0",",,0,30,+","55.4",",,0,02,","32.8",",0,27,","4116.0","0","29.2",",0","156.9",",,,0","0",",,,0","19.78",",0","25.21",",,,0","14.35",",,,0","",""
"USC00173295","2001-07","43.8925","-70.2544","115.2","GRAY, ME US","146.2","0","55.3",",0","13",",0","8",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","2",",0","","","","","20010727","+,,0","20010731","+,,0","20010731","+,,0","","","20010701",",,0","20010724",",,0","10.0",",0,27,+","0",",,0,31,+","0",",,0,31,+","30.5",",,0,01,","32.8",",0,24,","11.7","0","11.7",",0","77.4",",,,0","0",",,,0","19.74",",0","25.02",",,,0","14.46",",,,0","",""
"USC00173295","2001-08","43.8925","-70.2544","115.2","GRAY, ME US","272.3","0","126.1",",0","8",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","6",",0","","","","","20010825",",,0","20010831","+,,0","20010831","+,,0","","","20010820",",,0","20010809","+,,0","10.0",",0,25,","0",",,0,31,+","0",",,0,31,+","2.5",",,0,20,","35.6",",0,09,+","13.4","0","1.7",",0","8.2",",,,0","0",",,,0","22.35",",0","28.12",",,,0","16.57",",,,0","",""
"USC00173295","2001-09","43.8925","-70.2544","115.2","GRAY, ME US","292.6","0","20.3",",0","11",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","19",",0","1",",0","","","","","20010930",",,0","20010930","+,,0","20010930","+,,0","","","20010925",",,0","20010908",",,0","3.9",",0,30,","0",",,0,30,+","0",",,0,30,+","37.8",",,0,25,","32.2",",0,08,","84.4","0","71.0",",0","103.9",",,,0","0",",,,0","16.64",",0","22.23",",,,0","11.05",",,,0","",""
"USC00173295","2001-10","43.8925","-70.2544","115.2","GRAY, ME US","295.1","0","2.5",",0","10",",0","6",",0","0",",0","0",",0","0",",0","0",",0","5",",0","0",",0","7",",0","0",",0","","","","","20011031","+,,0","20011031","+,,0","20011031",",,0","","","20011015",",,0","20011004",",,0","-2.2",",0,31,+","0",",,0,31,+","0",",T,0,31,","10.2",",,0,15,","27.2",",0,04,","324.0","0","239.6",",0","43.7",",,,0","0",",T,,0","10.69",",0","16.30",",,,0","5.07",",,,0","",""
"USC00173295","2001-11","43.8925","-70.2544","115.2","GRAY, ME US","295.1","0","0.0",",0","13",",0","8",",0","1",",0","0",",0","0",",0","0",",0","17",",0","1",",0","0",",0","0",",0","","","","","20011121","+,,0","20011130","+,,Z","20011129",",,0","","","20011105",",,0","20011103",",,0","-4.4",",0,21,+","0",",T,Z,30,+","13",",,0,29,","30.2",",,0,05,","20.0",",0,03,","725.1","0","401.1",",0","78.8",",,,0","13",",,,0","4.96",",0","9.12",",,,0","0.81",",,,0","",""
"USC00173295","2001-12","43.8925","-70.2544","115.2","GRAY, ME US","295.1","0","0.0",",0","11",",0","9",",0","0",",0","19",",0","5",",0","0",",0","24",",0","9",",0","0",",0","0",",0","","","","","20011230","+,,0","20011221",",,0","20011221",",,0","","","20011224",",,0","20011206",",,0","-8.3",",0,30,+","152",",,0,21,","79",",,0,21,","9.9",",,0,24,","19.4",",0,06,","1266.1","0","541.0",",0","57.4",",,,0","355",",,,0","0.88",",0","4.69",",,,0","-2.93",",,,0","",""
"USC00173295","2002-01","43.8925","-70.2544","115.2","GRAY, ME US","0.0","0","0.0",",0","10",",0","7",",0","0",",0","31",",0","6",",0","0",",0","31",",0","8",",0","0",",0","0",",0","","","","","20020119","+,,0","20020122",",,0","20020131",",,0","","","20020113",",,0","20020123",",,0","-10.6",",0,19,+","330",",,0,22,","145",",,0,31,","23.4",",,0,13,","10.6",",0,23,","1894.0","0","627.9",",0","74.7",",,,0","622",",,,0","-1.92",",0","1.87",",,,0","-5.72",",,,0","",""
"USC00173295","2002-02","43.8925","-70.2544","115.2","GRAY, ME US","0.0","0","0.0",",0","8",",0","5",",0","0",",0","28",",0","2",",0","1",",0","26",",0","8",",0","0",",0","0",",0","","","","","20020212",",,0","20020203","+,,0","20020227",",,0","","","20020227",",,0","20020216",",,0","-17.8",",0,12,","330",",,0,03,+","43",",,0,27,","21.3",",,0,27,","10.6",",0,16,","2479.8","0","585.8",",0","72.1",",,,0","87",",,,0","-2.59",",0","2.56",",,,0","-7.74",",,,0","",""
"USC00173295","2002-03","43.8925","-70.2544","115.2","GRAY, ME US","0.0","0","0.0",",0","13",",0","8",",0","1",",0","12",",0","5",",0","0",",0","27",",0","1",",0","0",",0","0",",0","","","","","20020323",",,0","20020321",",,Z","20020320",",,0","","","20020303",",,0","20020331",",,0","-11.1",",0,23,","229",",,Z,21,","221",",,0,20,","26.2",",,0,03,","16.7",",0,31,","3013.9","0","534.1",",0","111.3",",,,0","386",",,,0","1.10",",0","5.91",",,,0","-3.70",",,,0","",""
"USC00173295","2002-04","43.8925","-70.2544","115.2","GRAY, ME US","0.8","0","0.8",",0","15",",0","9",",0","1",",0","1",",0","2",",0","0",",0","11",",0","0",",0","2",",0","0",",0","","","","","20020407",",,0","20020426",",,Z","20020426","+,,0","","","20020413",",,0","20020417",",,0","-5.6",",0,07,","76",",,Z,26,","46",",,0,26,+","29.5",",,0,13,","30.0",",0,17,","3352.0","0","338.1",",0","132.5",",,,0","133",",,,0","7.09",",0","12.37",",,,0","1.81",",,,0","",""
"USC00173295","2002-05","43.8925","-70.2544","115.2","GRAY, ME US","3.0","0","2.2",",0","11",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","12",",0","0",",0","","","","","20020519",",,0","20020531","+,,0","20020521","+,,0","","","20020513",",,0","20020524",",,0","0.6",",0,19,","0",",,0,31,+","0",",T,0,21,+","37.3",",,0,13,","27.8",",0,24,","3559.3","0","207.3",",0","104.8",",,,0","0",",T,,0","11.72",",0","17.52",",,,0","5.92",",,,0","",""
"USC00173295","2002-06","43.8925","-70.2544","115.2","GRAY, ME US","33.4","0","30.4",",0","14",",0","8",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","17",",0","0",",0","","","","","20020604",",,0","20020630","+,,0","20020630","+,,0","","","20020612",",,0","20020627",",,0","5.6",",0,04,","0",",,0,30,+","0",",,0,30,+","37.8",",,0,12,","30.6",",0,27,","3638.7","0","79.4",",0","114.2",",,,0","0",",,,0","16.70",",0","21.87",",,,0","11.52",",,,0","",""
"USC00173295","2002-07","43.8925","-70.2544","115.2","GRAY, ME US","134.5","0","101.1",",0","9",",0","7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","5",",0","","","","","20020712","+,,0","20020731","+,,0","20020731","+,,0","","","20020701",",,0","20020703",",,0","10.0",",0,12,+","0",",,0,31,+","0",",,0,31,+","9.4",",,0,01,","35.6",",0,03,","11.2","0","11.2",",0","37.3",",,,0","0",",,,0","21.23",",0","26.87",",,,0","15.59",",,,0","",""
"USC00173295","2002-08","43.8925","-70.2544","115.2","GRAY, ME US","265.3","0","130.8",",0","8",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","11",",0","","","","","20020831",",,0","20020831","+,,0","20020831","+,,0","","","20020829",",,0","20020815","+,,0","7.8",",0,31,","0",",,0,31,+","0",",,0,31,+","25.9",",,0,29,","35.0",",0,15,+","19.8","0","8.6",",0","37.3",",,,0","0",",,,0","22.28",",0","28.75",",,,0","15.81",",,,0","",""
"USC00173295","2002-09","43.8925","-70.2544","115.2","GRAY, ME US","308.7","0","43.4",",0","9",",0","7",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","20",",0","3",",0","","","","","20020929",",,0","20020930","+,,0","20020930","+,,0","","","20020923",",,0","20020909",",,0","5.6",",0,29,","0",",,0,30,+","0",",,0,30,+","38.9",",,0,23,","35.6",",0,09,","69.6","0","49.8",",0","134.2",",,,0","0",",,,0","18.12",",0","23.85",",,,0","12.39",",,,0","",""
"USC00173295","2002-10","43.8925","-70.2544","115.2","GRAY, ME US","313.2","0","4.5",",0","13",",0","6",",0","2",",0","0",",0","0",",0","0",",0","10",",0","0",",0","4",",0","0",",0","","","","","20021031",",,0","20021031","+,,0","20021023",",,0","","","20021016",",,0","20021001",",,0","-3.9",",0,31,","0",",,0,31,+","0",",T,0,23,","39.9",",,0,16,","26.7",",0,01,","390.2","0","320.6",",0","103.9",",,,0","0",",T,,0","8.14",",0","13.10",",,,0","3.17",",,,0","",""
"USC00173295","2002-11","43.8925","-70.2544","115.2","GRAY, ME US","313.2","0","0.0",",0","17",",0","7",",0","2",",0","7","3,0","1",",0","0",",0","22",",0","5",",0","0",",0","0",",0","","","","","20021129","+,,0","20021117",",3,Z","20021117",",,0","","","20021117",",,0","20021111",",,0","-9.4",",0,29,+","102","3,,Z,17,","137",",,0,17,","39.4",",,0,17,","19.4",",0,11,","878.2","0","488.0",",0","139.9",",,,0","191",",,,0","2.07",",0","5.93",",,,0","-1.80",",,,0","",""
"USC00173295","2002-12","43.8925","-70.2544","115.2","GRAY, ME US","313.2","0","0.0",",0","9",",0","6",",0","3",",0","11",",0","4",",0","0",",0","30",",0","13",",0","0",",0","0",",0","","","","","20021209",",,0","20021227","+,,Z","20021225",",,0","","","20021225",",,0","20021220",",,0","-16.7",",0,09,","356",",,Z,27,+","356",",,0,25,","35.8",",,0,25,","9.4",",0,20,","1539.5","0","661.3",",0","125.1",",,,0","611",",,,0","-3.00",",0","0.97",",,,0","-6.97",",,,0","",""
"USC00173295","2003-01","43.8925","-70.2544","115.2","GRAY, ME US","0.0","0","0.0",",0","11",",0","6",",0","0",",0","31",",0","5",",0","9",",0","31",",0","29",",0","0",",0","0",",0","","","","","20030122",",,0","20030105",",,0","20030104",",,0","","","20030104",",,0","20030101",",,0","-22.8",",0,22,","508",",,0,05,","328",",,0,04,","22.4",",,0,04,","3.3",",0,01,","2386.8","0","847.3",",0","44.1",",,,0","545",",,,0","-9.00",",0","-4.50",",,,0","-13.49",",,,0","",""
"USC00173295","2003-02","43.8925","-70.2544","115.2","GRAY, ME US","0.0","0","0.0",",0","9",",0","7",",0","0",",0","28",",0","5",",0","8",",0","28",",0","15",",0","0",",0","0",",0","","","","","20030215","+,,0","20030219",",,0","20030218",",,0","","","20030202",",,0","20030221",",,0","-23.9",",0,15,+","610",",,0,19,","147",",,0,18,","21.6",",,0,02,","11.1",",0,21,","3096.4","0","709.6",",0","73.9",",,,0","386",",,,0","-7.01",",0","-2.20",",,,0","-11.82",",,,0","",""
"USC00173295","2003-03","43.8925","-70.2544","115.2","GRAY, ME US","0.0","0","0.0",",0","11",",0","8",",0","0",",0","26",",0","2",",0","2",",0","24",",0","9",",0","0",",0","0",",0","","","","","20030304",",,0","20030315","+,,0","20030313",",,0","","","20030302",",,0","20030329",",,0","-20.0",",0,04,","508",",,0,15,+","61",",,0,13,","21.6",",,0,02,","15.6",",0,29,","3687.2","0","590.8",",0","89.9",",,,0","110",",,,0","-0.73",",0","4.71",",,,0","-6.16",",,,0","",""
"USC00173295","2003-04","43.8925","-70.2544","115.2","GRAY, ME US","0.3","0","0.3",",0","12",",0","5",",0","1",",0","2",",0","1",",0","0",",0","18",",0","2",",0","4",",0","0",",0","","","","","20030401",",,0","20030405",",,0","20030405",",,0","","","20030426",",,0","20030415",",,0","-7.8",",0,01,","51",",,0,05,","51",",,0,05,","27.4",",,0,26,","27.8",",0,15,","4086.7","0","399.5",",0","58.6",",,,0","71",",,,0","5.03",",0","10.56",",,,0","-0.51",",,,0","",""
"USC00173295","2003-05","43.8925","-70.2544","115.2","GRAY, ME US","0.3","0","0.0",",0","18",",0","11",",0","0",",0","0","4,0","0",",0","0",",0","0",",0","0",",0","7",",0","0",",0","","","","","20030517",",,0","20030531","+,4,0","20030531","+,,0","","","20030526",",,0","20030520",",,0","1.7",",0,17,","0","4,,0,31,+","0",",,0,31,+","21.6",",,0,26,","28.9",",0,20,","4298.2","0","211.5",",0","100.8",",,,0","0",",,,0","11.51",",0","16.53",",,,0","6.49",",,,0","",""
"USC00173295","2003-06","43.8925","-70.2544","115.2","GRAY, ME US","43.1","0","42.8",",0","10",",0","6",",0","0",",0","0","1,0","0",",0","0",",0","0",",0","0",",0","21",",0","2",",0","","","","","20030617",",,0","20030630","+,1,0","20030630","+,,0","","","20030614",",,0","20030625",",,0","6.7",",0,17,","0","1,,0,30,+","0",",,0,30,+","17.0",",,0,14,","33.3",",0,25,","4356.4","0","58.2",",0","65.1",",,,0","0",",,,0","17.82",",0","23.17",",,,0","12.47",",,,0","",""
"USC00173295","2003-07","43.8925","-70.2544","115.2","GRAY, ME US","134.3","0","91.2",",0","9",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","0",",0","","","","","20030730",",,0","20030731","+,,0","20030731","+,,0","","","20030716",",,0","20030706",",,0","12.2",",0,30,","0",",,0,31,+","0",",,0,31,+","8.9",",,0,16,","31.7",",0,06,","7.0","0","7.0",",0","27.6",",,,0","0",",,,0","21.05",",0","26.29",",,,0","15.81",",,,0","",""
"USC00173295","2003-08","43.8925","-70.2544","115.2","GRAY, ME US","226.2","0","91.9",",0","15",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","0",",0","","","","","20030831","+,,0","20030831","+,,0","20030831","+,,0","","","20030801",",,0","20030820",",,0","9.4",",0,31,+","0",",,0,31,+","0",",,0,31,+","27.4",",,0,01,","31.7",",0,20,","18.7","0","11.7",",0","85.4",",,,0","0",",,,0","20.92",",0","25.74",",,,0","16.10",",,,0","",""
"USC00173295","2003-09","43.8925","-70.2544","115.2","GRAY, ME US","233.1","0","6.9",",0","12",",0","6",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","19",",0","0",",0","","","","","20030910",",,0","20030930","+,,0","20030930","+,,0","","","20030904",",,0","20030907",",,0","6.7",",0,10,","0",",,0,30,+","0",",,0,30,+","32.3",",,0,04,","26.7",",0,07,","77.6","0","58.9",",0","137.0",",,,0","0",",,,0","16.60",",0","21.61",",,,0","11.59",",,,0","",""
"USC00173295","2003-10","43.8925","-70.2544","115.2","GRAY, ME US","233.1","0","0.0",",0","14",",0","8",",0","5",",0","0",",0","0",",0","0",",0","4",",0","0",",0","2",",0","0",",0","","","","","20031025","+,,0","20031031","+,,0","20031023","+,,0","","","20031015",",,0","20031011",",,0","-1.1",",0,25,+","0",",,0,31,+","0",",T,0,23,+","47.2",",,0,15,","23.3",",0,11,","365.3","0","287.7",",0","185.0",",,,0","0",",T,,0","9.05",",0","13.77",",,,0","4.34",",,,0","",""
"USC00173295","2003-11","43.8925","-70.2544","115.2","GRAY, ME US","233.1","0","0.0",",0","13",",0","8",",0","1",",0","0",",0","0",",0","0",",0","18",",0","0",",0","1",",0","0",",0","","","","","20031109","+,,0","20031130","+,,0","20031129","+,,0","","","20031120",",,0","20031101",",,0","-6.7",",0,09,+","0",",,0,30,+","0",",T,0,29,+","31.2",",,0,20,","22.8",",0,01,","781.5","0","416.2",",0","114.5",",,,0","0",",T,,0","4.46",",0","8.83",",,,0","0.09",",,,0","",""
"USC00173295","2003-12","43.8925","-70.2544","115.2","GRAY, ME US","233.1","0","0.0",",0","9",",0","9",",0","3",",0","19",",0","4",",0","0",",0","29",",0","12",",0","0",",0","0",",0","","","","","20031214",",,0","20031208",",,0","20031206",",,0","","","20031211",",,0","20031229",",,0","-14.4",",0,14,","381",",,0,08,","282",",,0,06,","35.8",",,0,11,","12.8",",0,29,","1406.7","0","625.2",",0","157.0",",,,0","733",",,,0","-1.84",",0","2.53",",,,0","-6.20",",,,0","",""
"USC00173295","2004-01","43.8925","-70.2544","115.2","GRAY, ME US","0.0","0","0.0",",0","5",",0","2",",0","0",",0","23",",0","1",",0","13",",0","31",",0","27",",0","0",",0","0",",0","","","","","20040115",",,0","20040114","+,,0","20040102",",,0","","","20040103",",,0","20040104","+,,0","-26.1",",0,15,","51",",,0,14,+","36",",,0,02,","3.6",",,0,03,","4.4",",0,04,+","2304.7","0","898.0",",0","10.2",",,,0","80",",,,0","-10.64",",0","-6.36",",,,0","-14.91",",,,0","",""
