"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1KYHS0001","2012-05","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","5",",N","3",",N","0",",N","","","","","","","","","20120505",",,N","","","","","19.1",",,N,05,","29.7",",,,N","",""
"US1KYHS0001","2012-06","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","4",",N","3",",N","0",",N","","","0","4,N","","","20120630","+,4,N","20120601",",,N","","","0","4,,N,30,+","19.6",",,N,01,","35.4",",,,N","0","4,,,N"
"US1KYHS0001","2012-07","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","8",",N","3",",N","0",",N","","","","","","","","","20120715",",,N","","","","","6.4",",,N,15,","20.5",",,,N","",""
"US1KYHS0001","2012-08","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","7",",N","4",",N","3",",N","","","","","","","","","20120803",",,N","","","","","52.8",",,N,03,","130.8",",,,N","",""
"US1KYHS0001","2012-09","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","12","1,N","6","1,N","3","1,N","","","","","","","","","20120902",",1,N","","","","","41.7","1,,N,02,","135.3","1,,,N","",""
"US1KYHS0001","2012-11","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","6",",N","2",",N","0",",N","","","0","5,N","","","20121130","+,5,N","20121112",",,N","","","0","5,,N,30,+","20.8",",,N,12,","27.5",",,,N","0","5,,,N"
"US1KYHS0001","2012-12","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","17",",N","11",",N","1",",N","","","","","","","","","20121226",",,N","","","","","27.2",",,N,26,","101.7",",,,N","",""
"US1KYHS0001","2013-02","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","11","5,N","6","5,N","0","5,N","","","","","","","","","20130222",",5,N","","","","","16.5","5,,N,22,","75.0","5,,,N","",""
"US1KYHS0001","2013-03","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","18",",N","8",",N","1",",N","0","1,N","0","2,N","20130326","+,1,N","20130325","+,2,N","20130318",",,N","0","1,T,N,26,+","3","2,,N,25,+","58.4",",,N,18,","109.7",",,,N","6","2,,,N"
"US1KYHS0001","2013-04","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","9",",N","5",",N","2",",N","","","","","","","","","20130419",",,N","","","","","49.0",",,N,19,","110.0",",,,N","",""
"US1KYHS0001","2013-05","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","14","3,N","7","3,N","0","3,N","","","","","","","","","20130505",",3,N","","","","","19.3","3,,N,05,","107.1",",a,,N","",""
"US1KYHS0001","2013-06","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","11",",N","7",",N","2",",N","","","","","","","","","20130618",",,N","","","","","59.4",",,N,18,","147.6",",,,N","",""
"US1KYHS0001","2013-08","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","6",",N","2",",N","0",",N","","","","","","","","","20130813",",,N","","","","","3.6",",,N,13,","12.5",",,,N","",""
"US1KYHS0001","2013-09","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","9",",N","3",",N","2",",N","","","","","","","","","20130901",",,N","","","","","72.4",",,N,01,","115.3",",,,N","",""
"US1KYHS0001","2013-10","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","12",",N","7",",N","1",",N","","","","","","","","","20131006",",,N","","","","","87.9",",,N,06,","119.1",",,,N","",""
"US1KYHS0001","2013-11","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","12",",N","5",",N","1",",N","","","","","","","","","20131117",",,N","","","","","46.2",",,N,17,","93.6",",,,N","",""
"US1KYHS0001","2014-01","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","14",",N","2",",N","0",",N","0","5,N","0","2,N","20140125",",5,N","20140125",",2,N","20140111",",,N","13","5,,N,25,","13","2,,N,25,","18.0",",,N,11,","39.6",",,,N","39","2,,,N"
"US1KYHS0001","2014-03","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","8","2,N","4","2,N","0","2,N","","","1","2,N","","","20140303",",2,N","20140303",",2,N","","","38","2,,N,03,","22.1","2,,N,03,","82.6",",a,,N","53","2,,,N"
"US1KYHS0001","2014-04","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","15",",N","9",",N","3",",N","0","5,N","0",",N","20140430","+,5,N","20140430","+,,N","20140404",",,N","0","5,,N,30,+","0",",,N,30,+","117.6",",,N,04,","286.5",",,,N","0",",,,N"
"US1KYHS0001","2014-05","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","12",",N","8",",N","1",",N","","","","","","","","","20140515",",,N","","","","","33.3",",,N,15,","83.4",",,,N","",""
"US1KYHS0001","2014-06","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","12",",N","7",",N","0",",N","","","","","","","","","20140603",",,N","","","","","21.8",",,N,03,","65.9",",,,N","",""
"US1KYHS0001","2014-07","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","8",",N","5",",N","1",",N","","","","","","","","","20140702",",,N","","","","","30.0",",,N,02,","78.9",",,,N","",""
